,,,
,,,
,,,
,,,
,,,
,,,
,,,
,FID,x,y
,463,1938387.746,3878952.927
,464,1938117.838,3879223.994
,465,1938101.308,3879262.14
,466,1938086.96,3879295.249
,467,1938076.692,3879318.945
,468,1938061.657,3879353.642
,469,1938049.643,3879381.366
,470,1938045.342,3879417.929
,471,1938041.579,3879449.918
,472,1938036.948,3879489.289
,473,1938032.942,3879523.345
,474,1938013.242,3879551.487
,475,1937992.593,3879580.986
,476,1937966.453,3879618.33
,477,1937950.328,3879661.328
,478,1937933.216,3879706.961
,479,1937912.974,3879763.791
,480,1937896.797,3879814.632
,481,1937896.797,3879851.19
,482,1937896.797,3879893.787
,483,1937896.797,3879932.157
,484,1937896.797,3879973.283
,485,1937896.797,3879998.27
,486,1937910.742,3880023.372
,487,1937921.654,3880043.013
,488,1937938.296,3880067.207
,489,1937959.405,3880092.839
,490,1937982.178,3880123.697
,491,1938001.281,3880153.413
,492,1938006.89,3880183.706
,493,1938011.723,3880209.8
,494,1938017.111,3880238.9
,495,1938003.231,3880259.187
,496,1937985.326,3880285.356
,497,1937975.951,3880299.057
,498,1937942.214,3880332.794
,499,1937915.794,3880359.214
,500,1937907.563,3880387.567
,501,1937897.816,3880421.137
,502,1937892.255,3880440.293
,503,1937887.298,3880457.365
,504,1937885.926,3880502.66
,505,1937884.986,3880533.671
,506,1937884.132,3880561.849
,507,1937885.594,3880604.235
,508,1937886.745,3880637.61
,509,1937887.298,3880653.668
,510,1937887.298,3880698.128
,511,1937887.298,3880713.825
,512,1937888.935,3880738.373
,513,1937890.465,3880761.318
,514,1937896.293,3880784.632
,515,1937906.545,3880820.174
,516,1937912.945,3880835.535
,517,1937918.96,3880849.971
,518,1937910.811,3880866.269
,519,1937899.963,3880887.965
,520,1937886.767,3880888.593
,521,1937856.13,3880890.052
,522,1937833.474,3880891.131
,523,1937819.04,3880901.555
,524,1937798.889,3880916.109
,525,1937784.294,3880926.65
,526,1937776.482,3880932.291
,527,1937767.284,3880951.198
,528,1937757.131,3880972.068
,529,1937748.762,3880989.271
,530,1937739.755,3881007.786
,531,1937729.759,3881028.333
,532,1937719.491,3881049.44
,533,1937701.352,3881069.594
,534,1937686.097,3881086.544
,535,1937665.157,3881109.811
,536,1937643.031,3881134.396
,537,1937634.005,3881144.425
,538,1937617.78,3881166.626
,539,1937602.725,3881187.228
,540,1937584.776,3881211.79
,541,1937573.847,3881226.745
,542,1937564.831,3881244.778
,543,1937555.784,3881262.873
,544,1937551.684,3881271.072
,545,1937547.815,3881294.285
,546,1937545.352,3881309.066
,547,1937537.351,3881329.067
,548,1937527.878,3881352.75
,549,1937520.022,3881372.389
,550,1937517.844,3881403.197
,551,1937515.612,3881434.761
,552,1937513.66,3881462.359
,553,1937511.442,3881488.53
,554,1937510.075,3881504.656
,555,1937508.76,3881520.172
,556,1937507.175,3881538.874
,557,1937502.721,3881565.196
,558,1937499.088,3881586.663
,559,1937496.382,3881602.655
,560,1937492.91,3881623.17
,561,1937491.637,3881645.449
